name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
1,0,24447770,0,1,1,14,,,,tertiary,5,"LINESTRING (116.3439109 39.9431121, 116.3438490 39.9429953)",auto,0,0,,
2,1,27572729,2,3,1,80.76,,,,secondary,4,"LINESTRING (116.3289309 39.9570000, 116.3290079 39.9562747)",auto,0,0,,
3,2,27572738,4,5,1,254.34,3,,,secondary,4,"LINESTRING (116.3298219 39.9509281, 116.3300501 39.9502510, 116.3303104 39.9497231, 116.3306254 39.9491597, 116.3309330 39.9488200)",auto,0,0,,
4,3,27572738,5,6,1,33.35,3,,,secondary,4,"LINESTRING (116.3309330 39.9488200, 116.3311680 39.9485801)",auto,0,0,,
5,4,27572738,6,7,1,354.62,3,,,secondary,4,"LINESTRING (116.3311680 39.9485801, 116.3313792 39.9483461, 116.3317148 39.9480854, 116.3331762 39.9472197, 116.3343333 39.9465343)",auto,0,0,,
6,5,27572738,7,8,1,7.6,3,,,secondary,4,"LINESTRING (116.3343333 39.9465343, 116.3344038 39.9464925)",auto,0,0,,
7,6,27572738,8,9,1,20.55,3,,,secondary,4,"LINESTRING (116.3344038 39.9464925, 116.3345943 39.9463794)",auto,0,0,,
8,7,40674435,10,11,1,324.05,,,,tertiary,5,"LINESTRING (116.3423845 39.9488105, 116.3421201 39.9487817, 116.3388723 39.9477243)",auto,0,0,,
9,8,40674435,11,12,1,282,,,,tertiary,5,"LINESTRING (116.3388723 39.9477243, 116.3359143 39.9467613, 116.3358351 39.9467294)",auto,0,0,,
10,9,40674435,12,13,1,12.21,,,,tertiary,5,"LINESTRING (116.3358351 39.9467294, 116.3357085 39.9466783)",auto,0,0,,
11,10,42366474,6,14,1,149.75,,,,secondary,4,"LINESTRING (116.3311680 39.9485801, 116.3317646 39.9481422, 116.3325000 39.9477058)",auto,0,0,,
12,11,42399576,3,15,1,11.84,3,,,secondary,4,"LINESTRING (116.3290079 39.9562747, 116.3290205 39.9561685)",auto,0,1,,
13,12,42399971,16,17,1,55.5,,,,residential,6,"LINESTRING (116.3292488 39.9543584, 116.3286000 39.9543302)",auto,0,0,,
14,13,42399986,18,19,1,17.64,,,,tertiary,5,"LINESTRING (116.3400051 39.9568514, 116.3399317 39.9570000)",auto,1,0,,
15,14,42399986,19,18,1,17.64,,,,tertiary,5,"LINESTRING (116.3399317 39.9570000, 116.3400051 39.9568514)",auto,1,0,,
16,15,42400122,20,21,1,24.24,,,,residential,6,"LINESTRING (116.3435923 39.9567816, 116.3435924 39.9568481, 116.3435916 39.9570000)",auto,1,0,,
17,16,42400122,21,20,1,24.24,,,,residential,6,"LINESTRING (116.3435916 39.9570000, 116.3435924 39.9568481, 116.3435923 39.9567816)",auto,1,0,,
18,17,42943340,22,23,1,81.86,,,,residential,6,"LINESTRING (116.3414772 39.9521002, 116.3424232 39.9522180)",auto,1,0,,
19,18,42943340,23,22,1,81.86,,,,residential,6,"LINESTRING (116.3424232 39.9522180, 116.3414772 39.9521002)",auto,1,0,,
20,19,42943340,23,24,1,263.79,,,,residential,6,"LINESTRING (116.3424232 39.9522180, 116.3427101 39.9521903, 116.3428216 39.9520982, 116.3429075 39.9519075, 116.3429373 39.9516733, 116.3429457 39.9515823, 116.3429770 39.9515003, 116.3430452 39.9513654, 116.3433194 39.9510192, 116.3440062 39.9504863, 116.3440320 39.9503744)",auto,1,0,,
21,20,42943340,24,23,1,263.79,,,,residential,6,"LINESTRING (116.3440320 39.9503744, 116.3440062 39.9504863, 116.3433194 39.9510192, 116.3430452 39.9513654, 116.3429770 39.9515003, 116.3429457 39.9515823, 116.3429373 39.9516733, 116.3429075 39.9519075, 116.3428216 39.9520982, 116.3427101 39.9521903, 116.3424232 39.9522180)",auto,1,0,,
22,21,46032948,25,26,1,11.8,3,,,secondary,4,"LINESTRING (116.3292033 39.9561785, 116.3291903 39.9562843)",auto,0,1,,
23,22,60110701,27,28,1,117.24,,,,residential,6,"LINESTRING (116.3321357 39.9502408, 116.3324510 39.9492127)",auto,1,0,,
24,23,60110701,28,27,1,117.24,,,,residential,6,"LINESTRING (116.3324510 39.9492127, 116.3321357 39.9502408)",auto,1,0,,
