name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
1,0,9385323980,,,,,,,116.3439109,39.9431121,,,
2,1,265710690,,,,,,,116.343849,39.9429953,,,
3,2,,,,,,,,116.3289309,39.957,,,boundary node created by osm2gmns
4,3,266114404,traffic_signals,,signal,,,,116.3290079,39.9562747,,,
5,4,323192802,traffic_signals,,signal,,,,116.3298219,39.9509281,,,
6,5,746856649,,,,,,,116.330933,39.94882,,,
7,6,528909202,,,,,,,116.331168,39.9485801,,,
8,7,4580060672,traffic_signals,,signal,,,,116.3343333,39.9465343,,,
9,8,9806159882,,,,,,,116.3344038,39.9464925,,,
10,9,9806159881,,,,,,,116.3345943,39.9463794,,,
11,10,265710783,traffic_signals,,signal,,,,116.3423845,39.9488105,,,
12,11,5229699406,,,,,,,116.3388723,39.9477243,,,
13,12,2720469571,traffic_signals,,signal,,,,116.3358351,39.9467294,,,
14,13,9806159886,,,,,,,116.3357085,39.9466783,,,
15,14,528909200,,,,,,,116.3325,39.9477058,,,
16,15,1527880418,traffic_signals,,signal,,,,116.3290205,39.9561685,,,
17,16,529362893,,,,,,,116.3292488,39.9543584,,,
18,17,,,,,,,,116.3286,39.9543302,,,boundary node created by osm2gmns
19,18,265710786,traffic_signals,,signal,,,,116.3400051,39.9568514,,,
20,19,,,,,,,,116.3399317,39.957,,,boundary node created by osm2gmns
21,20,529364227,,,,,,,116.3435923,39.9567816,,,
22,21,,,,,,,,116.3435916,39.957,,,boundary node created by osm2gmns
23,22,537973122,,,,,,,116.3414772,39.9521002,,,
24,23,537973150,,,,,,,116.3424232,39.952218,,,
25,24,537973161,,,,,,,116.344032,39.9503744,,,
26,25,1790342378,traffic_signals,,signal,,,,116.3292033,39.9561785,,,
27,26,1790342381,traffic_signals,,signal,,,,116.3291903,39.9562843,,,
28,27,4419317407,,,,,,,116.3321357,39.9502408,,,
29,28,2720470486,,,,,,,116.332451,39.9492127,,,
30,29,2720469976,,,,,,,116.3326405,39.9485416,,,
31,30,746856346,,,,,,,116.3327234,39.9482074,,,
32,31,746856718,,,,,,,116.3366445,39.9522226,,,
33,32,746856419,,,,,,,116.3362398,39.9530502,,,
34,33,746856580,,,,,,,116.3381531,39.9503951,,,
35,34,2720479577,,,,,,,116.3382813,39.9498566,,,
36,35,2720479571,,,,,,,116.3383076,39.9497561,,,
37,36,2720479574,,,,,,,116.3383717,39.9495639,,,
38,37,746856493,,,,,,,116.3385029,39.9491147,,,
39,38,2720479576,,,,,,,116.3393588,39.9492555,,,
40,39,746856350,,,,,,,116.3404325,39.949432,,,
41,40,746856553,,,,,,,116.3398317,39.9541517,,,
42,41,746856481,,,,,,,116.3401428,39.9528742,,,
43,42,2720469572,,,,,,,116.3404496,39.9516991,,,
44,43,746856472,,,,,,,116.3406424,39.9510364,,,
45,44,746856413,,,,,,,116.3417354,39.9511862,,,
46,45,746856318,,,,,,,116.3400448,39.9507258,,,
47,46,746856596,traffic_signals,,signal,,,,116.3411869,39.9530556,,,
48,47,4177637250,,,,,,,116.3393075,39.9527228,,,
49,48,746856618,,,,,,,116.3390256,39.9526725,,,
50,49,,,,,,,,116.3286,39.9492197,,,boundary node created by osm2gmns
51,50,746856706,,,,,,,116.3415375,39.951926,,,
52,51,4177637281,,,,,,,116.3396049,39.9515616,,,
53,52,4177637246,,,,,,,116.3388635,39.9514411,,,
54,53,746856431,,,,,,,116.3378916,39.9512831,,,
